year,name,n
2021,Michael,51
2020,Michael,49
2019,Michael,51
2018,Michael,51
2017,Michael,51
2016,Michael,52
2015,Michael,53
2014,Michael,52
2013,Michael,51
2012,Michael,51
2011,Michael,51
2010,Michael,51
2009,Michael,52
2008,Michael,53
2007,Michael,52
2006,Michael,55
2005,Michael,52
2004,Michael,58
2003,Michael,57
2002,Michael,56
2001,Michael,55
2000,Michael,58
1999,Michael,60
1998,Michael,61
1997,Michael,61
1996,Michael,60
1995,Michael,59
1994,Michael,61
1993,Michael,64
1992,Michael,70
1991,Michael,64
1990,Michael,66
1989,Michael,74
1988,Michael,78
1987,Michael,82
1986,Michael,86
1985,Michael,82